"Date","Price","Open","High","Low","Change %"
"10/25/2023","1.265","1.236","1.271","1.225","2.76%"
"10/24/2023","1.231","1.260","1.260","1.202","-0.97%"
"10/23/2023","1.243","1.249","1.278","1.237","-0.96%"
"10/20/2023","1.255","1.313","1.313","1.249","-3.54%"
"10/19/2023","1.301","1.307","1.313","1.296","-0.08%"
"10/18/2023","1.302","1.297","1.308","1.245","3.09%"
"10/17/2023","1.263","1.286","1.286","1.240","2.35%"
"10/16/2023","1.234","1.297","1.303","1.234","-1.44%"
"10/13/2023","1.252","1.309","1.315","1.240","-2.26%"
"10/12/2023","1.281","1.258","1.281","1.247","2.23%"
"10/11/2023","1.253","1.259","1.270","1.128","1.79%"
"10/10/2023","1.231","1.237","1.271","1.225","1.40%"
"10/09/2023","1.214","1.288","1.294","1.209","-3.27%"
"10/06/2023","1.255","1.294","1.317","1.249","-3.46%"
"10/05/2023","1.300","1.283","1.306","1.215","0.31%"
"10/04/2023","1.296","1.290","1.296","1.250","0.86%"
"10/03/2023","1.285","1.268","1.285","1.234","0.00%"
"10/02/2023","1.285","1.262","1.285","1.257","3.13%"
"09/29/2023","1.246","1.240","1.257","1.212","1.30%"
"09/28/2023","1.230","1.218","1.230","1.213","0.82%"
"09/27/2023","1.220","1.220","1.220","1.186","0.00%"
"09/26/2023","1.220","1.226","1.226","1.192","0.41%"
"09/25/2023","1.215","1.254","1.254","1.187","-2.25%"
"09/22/2023","1.243","1.227","1.243","1.210","-1.82%"
"09/21/2023","1.266","1.360","1.371","1.199","-5.03%"
"09/20/2023","1.333","1.327","1.361","1.327","-1.26%"
"09/19/2023","1.350","1.322","1.350","1.322","2.12%"
"09/18/2023","1.322","1.317","1.322","1.301","1.23%"
"09/15/2023","1.306","1.273","1.306","1.273","2.51%"
"09/14/2023","1.274","1.257","1.301","1.257","-0.08%"
"09/13/2023","1.275","1.286","1.318","1.253","0.87%"
"09/12/2023","1.264","1.297","1.297","1.221","5.42%"
"09/11/2023","1.199","1.183","1.216","1.156","2.74%"
"09/08/2023","1.167","1.178","1.200","1.135","-2.34%"
"09/07/2023","1.195","1.206","1.211","1.119","4.64%"
"09/06/2023","1.142","1.153","1.153","1.099","2.88%"
"09/05/2023","1.110","1.105","1.110","1.094","-1.07%"
"09/04/2023","1.122","1.106","1.122","1.100","1.91%"
"09/01/2023","1.101","1.138","1.144","1.058","-0.54%"
"08/31/2023","1.107","1.134","1.144","1.069","-1.60%"
"08/30/2023","1.125","1.125","1.151","1.119","0.00%"
"08/29/2023","1.125","1.136","1.146","1.115","-4.50%"
"08/28/2023","1.178","1.157","1.178","1.125","1.29%"
"08/25/2023","1.163","1.142","1.163","1.094","3.29%"
"08/24/2023","1.126","1.089","1.126","1.073","2.74%"
"08/23/2023","1.096","1.154","1.154","1.091","-4.70%"
"08/22/2023","1.150","1.160","1.160","1.139","-2.21%"
"08/21/2023","1.176","1.150","1.176","1.124","2.17%"
"08/18/2023","1.151","1.156","1.156","1.114","0.00%"
"08/17/2023","1.151","1.156","1.156","1.130","-0.60%"
"08/16/2023","1.158","1.121","1.158","1.085","2.75%"
"08/15/2023","1.127","1.132","1.158","1.127","-0.09%"
"08/14/2023","1.128","1.128","1.133","1.096","0.00%"
"08/11/2023","1.128","1.133","1.133","1.102","2.27%"
"08/10/2023","1.103","1.056","1.134","1.051","1.29%"
"08/09/2023","1.089","1.084","1.094","1.022","0.00%"
"08/08/2023","1.089","1.064","1.094","1.043","-1.89%"
"08/07/2023","1.110","1.126","1.147","1.090","-0.98%"
"08/04/2023","1.121","1.163","1.173","1.096","0.36%"
"08/03/2023","1.117","1.107","1.117","1.091","0.36%"
"08/02/2023","1.113","1.175","1.190","1.088","-5.28%"
"07/31/2023","1.175","1.191","1.191","1.145","-0.51%"
"07/28/2023","1.181","1.191","1.191","1.145","0.34%"
"07/27/2023","1.177","1.192","1.192","1.141","-1.34%"
"07/26/2023","1.193","1.183","1.193","1.152","2.14%"
"07/25/2023","1.168","1.188","1.193","1.087","3.55%"
"07/24/2023","1.128","1.199","1.214","1.128","-3.92%"
"07/21/2023","1.174","1.184","1.199","1.154","0.00%"
"07/20/2023","1.174","1.169","1.174","1.124","5.77%"
"07/19/2023","1.110","1.085","1.110","1.075","-0.54%"
"07/18/2023","1.116","1.196","1.196","1.111","-4.29%"
"07/17/2023","1.166","1.181","1.222","1.166","-0.51%"
"07/14/2023","1.172","1.162","1.197","1.137","0.43%"
"07/13/2023","1.167","1.268","1.268","1.152","-4.66%"
"07/12/2023","1.224","1.269","1.500","1.219","-18.40%"
"07/11/2023","1.500","1.359","1.500","1.249","18.20%"
"07/10/2023","1.269","1.269","1.359","1.254","1.12%"
"07/07/2023","1.255","1.294","1.294","1.240","-3.09%"
"07/06/2023","1.295","1.250","1.300","1.195","7.83%"
"07/05/2023","1.201","1.177","1.221","1.132","-4.00%"
"07/04/2023","1.251","1.202","1.251","1.182","4.08%"
"07/03/2023","1.202","1.252","1.252","1.177","-1.23%"
"06/30/2023","1.217","1.252","1.252","1.207","-0.81%"
"06/29/2023","1.227","1.247","1.257","1.188","-1.68%"
"06/28/2023","1.248","1.150","1.248","1.087","3.65%"
"06/27/2023","1.204","1.136","1.209","1.082","7.79%"
"06/26/2023","1.117","1.151","1.151","1.058","-2.95%"
"06/23/2023","1.151","1.161","1.186","1.069","-0.52%"
"06/22/2023","1.157","1.215","1.220","1.059","-3.34%"
"06/21/2023","1.197","1.192","1.246","1.173","0.42%"
"06/20/2023","1.192","1.207","1.227","1.173","-3.25%"
"06/19/2023","1.232","1.203","1.232","1.203","0.00%"
"06/16/2023","1.232","1.319","1.329","1.198","-1.20%"
"06/15/2023","1.247","1.276","1.276","1.194","5.68%"
"06/14/2023","1.180","1.142","1.219","1.118","-18.90%"
"06/13/2023","1.455","1.352","1.455","1.301","0.07%"
"06/12/2023","1.454","1.383","1.454","1.332","5.98%"
"06/09/2023","1.372","1.321","1.372","1.321","2.31%"
"06/08/2023","1.341","1.199","1.352","1.199","11.75%"
"06/07/2023","1.200","1.200","1.200","1.200","0.00%"
"06/06/2023","1.200","1.200","1.200","1.150","0.00%"
"06/05/2023","1.200","1.200","1.200","1.160","0.00%"
"06/02/2023","1.200","1.160","1.200","1.130","3.45%"
"06/01/2023","1.160","1.160","1.160","1.111","0.78%"
"05/31/2023","1.151","1.151","1.151","1.102","0.00%"
"05/30/2023","1.151","1.112","1.151","1.102","3.51%"
"05/26/2023","1.112","1.152","1.152","1.112","-3.47%"
"05/25/2023","1.152","1.132","1.152","1.132","-0.09%"
"05/24/2023","1.153","1.153","1.153","1.104","0.00%"
"05/23/2023","1.153","1.153","1.153","1.143","0.00%"
"05/22/2023","1.153","1.153","1.153","1.008","0.00%"
"05/19/2023","1.153","1.153","1.153","1.009","0.00%"
"05/17/2023","1.153","1.153","1.153","1.058","-0.09%"
"05/16/2023","1.154","1.154","1.154","1.012","-0.09%"
"05/15/2023","1.155","1.060","1.155","1.060","2.48%"
"05/12/2023","1.127","1.117","1.127","1.061","-2.42%"
"05/11/2023","1.155","1.155","1.155","0.986","1.58%"
"05/10/2023","1.137","1.156","1.156","1.053","0.80%"
"05/09/2023","1.128","1.147","1.156","1.082","-1.66%"
"05/08/2023","1.147","1.156","1.156","1.054","-0.78%"
"05/05/2023","1.156","1.018","1.156","1.018","13.56%"
"05/04/2023","1.018","1.175","1.194","1.018","-13.44%"
"05/03/2023","1.176","1.020","1.185","1.020","4.91%"
"05/02/2023","1.121","1.240","1.240","1.011","-2.44%"
"04/28/2023","1.149","1.103","1.158","1.103","4.17%"
"04/27/2023","1.103","1.103","1.103","0.958","-0.18%"
"04/26/2023","1.105","1.177","1.177","0.961","2.50%"
"04/25/2023","1.078","1.132","1.132","1.060","-8.41%"
"04/24/2023","1.177","1.177","1.177","1.043","-5.08%"
"04/21/2023","1.240","1.061","1.240","1.043","15.89%"
"04/20/2023","1.070","1.240","1.240","1.026","-13.71%"
"04/19/2023","1.240","1.072","1.240","1.001","15.67%"
"04/18/2023","1.072","1.240","1.240","1.072","-12.99%"
"04/17/2023","1.232","0.984","1.232","0.941","1.48%"
"04/14/2023","1.214","1.187","1.214","1.055","15.95%"
"04/13/2023","1.047","1.205","1.205","0.924","3.25%"
"04/12/2023","1.014","1.144","1.249","0.814","-12.06%"
"04/11/2023","1.153","1.197","1.223","0.988","5.49%"
"04/06/2023","1.093","1.110","1.127","0.764","-1.53%"
"04/05/2023","1.110","1.197","1.197","0.826","-1.68%"
"04/04/2023","1.129","1.189","1.206","1.120","-6.38%"
"04/03/2023","1.206","1.198","1.206","1.078","0.00%"
"03/31/2023","1.206","1.206","1.206","1.036","0.67%"
"03/30/2023","1.198","1.164","1.206","0.825","-0.75%"
"03/29/2023","1.207","1.122","1.207","0.828","8.35%"
"03/28/2023","1.114","1.080","1.131","0.870","4.70%"
"03/27/2023","1.064","1.055","1.114","0.779","0.76%"
"03/24/2023","1.056","1.148","1.148","0.738","-5.29%"
"03/23/2023","1.115","0.998","1.249","0.831","7.11%"
"03/22/2023","1.041","0.983","1.082","0.974","5.90%"
"03/21/2023","0.983","0.342","1.049","0.342","185.76%"
"03/20/2023","0.344","0.794","0.794","0.101","-53.39%"
"03/17/2023","0.738","0.836","0.894","0.428","-3.40%"
"03/16/2023","0.764","0.715","0.764","0.568","6.41%"
"03/15/2023","0.718","1.315","1.331","0.524","-42.88%"
"03/14/2023","1.257","1.331","1.331","0.792","18.47%"
"03/13/2023","1.061","1.511","1.520","0.826","-30.15%"
"03/10/2023","1.519","1.535","1.568","1.453","-3.06%"
"03/09/2023","1.567","1.576","1.576","1.526","-0.44%"
"03/08/2023","1.574","1.647","1.688","1.549","-2.42%"
"03/07/2023","1.613","1.565","1.622","1.565","2.61%"
"03/06/2023","1.572","1.394","1.572","1.394","14.74%"
"03/03/2023","1.370","1.386","1.410","1.370","0.07%"
"03/02/2023","1.369","1.474","1.474","1.305","-7.50%"
"03/01/2023","1.480","1.249","1.480","1.249","19.26%"
"02/28/2023","1.241","1.217","1.288","1.153","1.97%"
"02/27/2023","1.217","1.138","1.217","1.138","6.94%"
"02/24/2023","1.138","1.257","1.257","1.130","-6.49%"
"02/23/2023","1.217","1.249","1.257","1.202","0.00%"
"02/22/2023","1.217","1.241","1.249","1.093","-1.93%"
"02/21/2023","1.241","1.249","1.249","1.210","0.65%"
"02/20/2023","1.233","1.249","1.249","1.078","0.00%"
"02/17/2023","1.233","1.218","1.249","1.171","0.00%"
"02/16/2023","1.233","1.225","1.233","1.102","0.00%"
"02/15/2023","1.233","1.241","1.241","1.095","-0.64%"
"02/14/2023","1.241","1.218","1.241","1.195","2.56%"
"02/13/2023","1.210","1.203","1.249","1.195","2.54%"
"02/10/2023","1.180","1.249","1.249","1.058","2.61%"
"02/09/2023","1.150","1.195","1.195","1.058","-0.69%"
"02/08/2023","1.158","1.173","1.249","1.044","2.03%"
"02/07/2023","1.135","1.113","1.143","1.113","1.98%"
"02/06/2023","1.113","1.023","1.113","1.023","8.80%"
"02/03/2023","1.023","1.016","1.023","1.016","-0.10%"
"02/02/2023","1.024","1.016","1.024","0.994","-0.10%"
"02/01/2023","1.025","1.025","1.025","1.018","0.00%"
"01/31/2023","1.025","1.025","1.070","0.959","-0.10%"
"01/30/2023","1.026","1.026","1.130","0.996","0.00%"
"01/27/2023","1.026","1.026","1.026","1.019","0.00%"
"01/26/2023","1.026","1.026","1.026","1.012","-0.19%"
"01/25/2023","1.028","1.028","1.028","1.020","0.00%"
"01/24/2023","1.028","1.109","1.109","1.021","-9.11%"
"01/23/2023","1.131","1.109","1.131","1.072","2.63%"
